SQL injection,High,https://itrecruitment.asuransiastra.com,/forget/sending/
SQL injection,High,http://www.asuransiastra.com,/wp-admin/admin-ajax.php/
TLS certificate,Medium,https://meddoctor.asuransiastra.com,/
TLS certificate,Medium,https://salvage.asuransiastra.com,/
TLS certificate,Medium,https://www.gardamarine.com,/
TLS certificate,Medium,https://db-repositoryscenario-qc.asuransiastra.com,/
TLS certificate,Medium,https://repositoryscenario-qc.asuransiastra.com,/
TLS certificate,Medium,https://www.asuransiastra.com,/
TLS certificate,Medium,https://a2is-opex.aab.asuransi.astra.co.id,/
TLS certificate,Medium,https://a2issd.aab.asuransi.astra.co.id,/
TLS certificate,Medium,https://aab-antrian.aab.asuransi.astra.co.id,/
TLS certificate,Medium,https://aab-helpdesk.aab.asuransi.astra.co.id,/
TLS certificate,Medium,https://k-port.aab.asuransi.astra.co.id,/
TLS certificate,Medium,https://b2bpermatava.beyond.asuransi.astra.co.id,/
TLS certificate,Medium,https://product.beyond.asuransi.astra.co.id,/
TLS certificate,Medium,https://a2-hris.aab.asuransi.astra.co.id,/
SQL injection,High,http://econsulcms.asuransiastra.com,/
Web cache poisoning,High,https://econsulcms.asuransiastra.com,/
TLS cookie without secure flag set,Medium,https://a2isworkshop.asuransiastra.com,/ClaimProcess/
TLS cookie without secure flag set,Medium,https://a2isworkshop-qc.asuransiastra.com,/ClaimProcess/
TLS cookie without secure flag set,Medium,https://qremployee.asuransiastra.com,/
Session token in URL,Medium,https://db-repositoryscenario-qc.asuransiastra.com,/
TLS cookie without secure flag set,Medium,https://itrecruitment.asuransiastra.com,/
Strict transport security not enforced,Low,https://gen5.asuransiastra.com,/Retail/API/root/signin
Strict transport security not enforced,Low,https://gen5.asuransiastra.com,/Retail/CSS/a2is-1.10.1.5.min.css
Strict transport security not enforced,Low,https://gen5.asuransiastra.com,/Retail/Scripts/a2is-1.16.1.3.min.js
Strict transport security not enforced,Low,https://gen5.asuransiastra.com,/Retail/UI/Root/home.cshtml
Strict transport security not enforced,Low,https://gen5.asuransiastra.com,/retail
Strict transport security not enforced,Low,https://gen5.asuransiastra.com,/robots.txt
Unencrypted communications,Low,http://a2isworkshop.asuransiastra.com,/
Strict transport security not enforced,Low,https://a2isworkshop.asuransiastra.com,/ClaimProcess
Password field with autocomplete enabled,Low,https://a2isworkshop.asuransiastra.com,/ClaimProcess/
Strict transport security not enforced,Low,https://gen5.asuransiastra.com,/robots.txt
Strict transport security not enforced,Low,https://gen5.asuransiastra.com,/robots.txt
Strict transport security not enforced,Low,https://gen5.asuransiastra.com,/gardaakses
Strict transport security not enforced,Low,https://gen5.asuransiastra.com,/robots.txt
Strict transport security not enforced,Low,https://gardamedikaakses.asuransiastra.com,/robots.txt
Strict transport security not enforced,Low,https://gen5.asuransiastra.com,/GlobalAPI/
Strict transport security not enforced,Low,https://gen5.asuransiastra.com,/robots.txt
Unencrypted communications,Low,http://gen5-qc.asuransiastra.com,/
Strict transport security not enforced,Low,https://gen5-qc.asuransiastra.com,/robots.txt
Unencrypted communications,Low,http://a2isworkshop-qc.asuransiastra.com,/
Strict transport security not enforced,Low,https://a2isworkshop-qc.asuransiastra.com,/
Password field with autocomplete enabled,Low,https://a2isworkshop-qc.asuransiastra.com,/ClaimProcess/
Unencrypted communications,Low,http://gen5-qc.asuransiastra.com,/
Unencrypted communications,Low,http://gen5-qc.asuransiastra.com,/
Strict transport security not enforced,Low,https://gen5-qc.asuransiastra.com,/financeapp
Strict transport security not enforced,Low,https://gen5-qc.asuransiastra.com,/robots.txt
Strict transport security not enforced,Low,https://salvage-qc.asuransiastra.com,/
Strict transport security not enforced,Low,https://gardamedikaakses-qc1.asuransiastra.com,/robots.txt
Unencrypted communications,Low,http://hometr.beyond.asuransi.astra.co.id,/
Unencrypted communications,Low,http://generaltr.beyond.asuransi.astra.co.id,/
Unencrypted communications,Low,http://phonefollowuptr.beyond.asuransi.astra.co.id,/
Unencrypted communications,Low,http://reporttr.beyond.asuransi.astra.co.id,/
Unencrypted communications,Low,http://surveytr.beyond.asuransi.astra.co.id,/
Unencrypted communications,Low,http://policytr.beyond.asuransi.astra.co.id,/
Unencrypted communications,Low,http://architect.asuransiastra.com,/
Strict transport security not enforced,Low,https://architect.asuransiastra.com,/robots.txt
Unencrypted communications,Low,http://gardamobileotosurvey.asuransiastra.com,/
Strict transport security not enforced,Low,https://gardamobileotosurvey.asuransiastra.com,/robots.txt
