80,High,AAB-BEYONDB2B2,172.16.83.220
80,High,a2-b2b-web-l,172.16.83.224
80,High,a2is-K2WorkSpc,172.16.83.23
80,High,a2is-K2WorkApp,172.16.83.24
80,High,AAB-BYNDSSIS2,172.16.83.241
80,High,#N/A,172.16.83.249
80,High,#N/A,172.16.83.33
80,High,a2-ssis16-1,172.16.83.41
80,High,AAB-BeyondSSIS,172.16.83.56
80,High,a2is-bireport01,172.16.83.60
80,High,AAB-BYNDSSIS3,172.16.83.71
80,High,AAB-BYNDSSIS4,172.16.83.72
80,High,AAB-BYNDSSIS5,172.16.83.73
80,High,#N/A,172.16.83.8
80,High,#N/A,172.16.83.82
80,High,a2-god-rp1,172.16.9.12
80,High,a2-god-rp2,172.16.9.13
80,High,a2-god-pmt1,172.16.9.14
80,High,a2-god-pmt2,172.16.9.15
80,High,aab-wmapp,172.16.9.3
80,High,SurveyMobileWeb,172.16.9.61
80,High,a2-graylog-svr,172.16.93.10
80,High,Dashboard-DCO,172.16.93.102
80,High,aab-ticketdesk-new,172.16.93.105
80,High,a2-gmall-web-lx,172.16.93.106
80,High,#N/A,172.16.93.104
80,High,a2is-ctiapp,172.16.93.112
80,High,cisadane-uws4RS,172.16.93.114
80,High,a2is-FinanWeb,172.16.93.116
80,High,AAB-GLAPHealth,172.16.93.119
80,High,A2IS-MobAgentApp,172.16.93.121
80,High,a2-god-privapi1,172.16.93.122
80,High,a2-god-privapi2,172.16.93.123
80,High,cisadane-uws10-1,172.16.93.125
80,High,DMARC-RPT,172.16.93.126
80,High,a2-gmall-web-lx2,172.16.93.129
80,High,xoom-db-prod,172.16.93.13
80,High,cisadane-uws3rs,172.16.93.135
80,High,a2is-JenKins,172.16.93.14
80,High,a2issunsystems,172.16.93.140
80,High,a2is-finanuws,172.16.93.141
80,High,a2-hlt-bst1,172.16.93.145
80,High,A2-mobcusapi,172.16.93.147
80,High,a2-otosales-web-lx2,172.16.93.149
80,High,Aab-SchedMedic,172.16.93.156
80,High,cisadane-uws4-1,172.16.93.159
80,High,cisadane-uws3-1,172.16.93.160
80,High,#N/A,172.16.93.162
80,High,a2-gardamarine,172.16.93.165
80,High,a2is-webbilling,172.16.93.17
80,High,A2-CommbizAPI,172.16.93.171
80,High,Aab-TFGen,172.16.93.172
80,High,A2-Garda-hlttech,172.16.93.173
80,High,A2-mobcussch,172.16.93.174
80,High,cisadane-uws11,172.16.93.18
80,High,#N/A,172.16.93.188
80,High,a2is-PPU-SVR,172.16.93.191
80,High,a2is-schedpmt,172.16.93.196
80,High,sadc-logbook-db,172.16.93.2
80,High,#N/A,172.16.93.228
80,High,#N/A,172.16.93.202
80,High,#N/A,172.16.93.232
80,High,#N/A,172.16.93.233
80,High,A2is-ticket-desk,172.16.93.241
80,High,#N/A,172.16.93.245
80,High,a2-git-repo,172.16.93.247
80,High,#N/A,172.16.93.248
80,High,xoom-server-prod,172.16.93.25
80,High,#N/A,172.16.93.252
80,High,cisadane-uws12,172.16.93.28
80,High,a2iscomm1-API,172.16.93.37
80,High,a2iscomm2-API,172.16.93.38
80,High,a2-appswebx-2012,172.16.93.39
80,High,cisadane-uws7,172.16.93.40
80,High,cisadane-uws8,172.16.93.41
80,High,a2-GarMedAkses-Web,172.16.93.43
80,High,RAAS,172.16.93.47
80,High,a2G5-HealthRpt1,172.16.93.51
80,High,AAB-DCMAIN08,172.16.93.53
80,High,b2bfif-pop,172.16.93.54
80,High,cisadane-uws1,172.16.93.56
80,High,cisadane-uws2,172.16.93.57
80,High,a2finanBizAPI19,172.16.93.6
80,High,AAB-ANTRIAN,172.16.93.66
80,High,Cisadane-UWS13,172.16.93.62
80,High,cisadane-uws9,172.16.93.68
80,High,cisadane-uws10,172.16.93.69
80,High,Cisadane-UWS14,172.16.93.72
80,High,a2is-signalr-cti,172.16.93.73
80,High,a2ishealth-uws3,172.16.93.74
80,High,a2ishealth-uws4,172.16.93.75
80,High,Cisadane-UWS15,172.16.93.79
80,High,a2finanAPI19,172.16.93.8
80,High,a2-graylog-lx,172.16.93.90
80,High,a2iscomm3-API,172.16.93.91
80,High,#N/A,172.16.93.94
80,High,cisadane-uws9-1,172.16.93.96
80,High,#N/A,172.29.112.1
80,High,#N/A,172.29.112.1
139,High,B2BTAFS2,10.7.15.3
139,High,a2-B2BTAF-App,10.7.15.4
139,High,a2is-marine,172.16.10.34
139,High,AAB-Leadtime,172.16.10.50
139,High,AAB-ByndInt1-12,172.16.10.51
139,High,A2-ByndInt1-12,172.16.10.53
139,High,cisadane-rp1,172.16.10.242
139,High,A2-BFIApp,172.16.10.86
139,High,cisadane-rp2,172.16.10.245
139,High,ITPFIF,172.16.11.11
139,High,A2-BYNDINT6-12,172.16.11.229
139,High,A2-BYNDINT61-12,172.16.11.230
139,High,AAB-BEYONDK2A,172.16.13.20
139,High,AAB-BeyondK2b,172.16.13.48
139,High,A2-BYNDINT3-12,172.16.14.119
139,High,AAB-BEYONDINT3,172.16.14.121
139,High,AAB-BEYONDINT4,172.16.14.122
139,High,A2-BYNDINT4-12,172.16.14.138
139,High,A2-FIF-WEBSVC,172.16.15.140
139,High,A2-B2BACC-CLNT,172.16.16.231
139,High,A2-ACC-DocMaker,172.16.16.60
139,High,A2-B2BTAF-CLNT,172.16.17.17
139,High,a2-TAFWebSvc16,172.16.17.145
139,High,AAB-BEYONDINT5,172.16.19.120
139,High,A2-BYNDINT5-12,172.16.19.197
139,High,a2-beyondspa-19,172.16.20.92
139,High,a2-beyondspb-19,172.16.20.93
139,High,Beyond-FIF,172.16.204.5
139,High,AAB-BYNDB2BWEB1,172.16.22.141
139,High,A2-BYNDB2BWEB1,172.16.22.142
139,High,A2-ByndIntb-12,172.16.24.39
139,High,A2-ByndIntd-12,172.16.24.91
139,High,a2-exch16-1,172.16.3.110
139,High,a2-exch16-2,172.16.3.111
139,High,a2is-MobileApp1,172.16.5.123
139,High,a2is-mobileApp,172.16.5.150
139,High,SurveyMobApp2,172.16.5.202
139,High,SurveyMobileApp,172.16.5.61
139,High,a2-ByndExt2-12,172.16.5.95
139,High,a2-ByndExt1-12,172.16.5.97
139,High,a2FinanDB19,172.16.7.10
139,High,a2FinanDBRPT19,172.16.7.11
139,High,a2is-bynddb-pa,172.16.7.12
139,High,a2is-k2db,172.16.7.13
139,High,#N/A,172.16.7.125
139,High,#N/A,172.16.7.126
139,High,#N/A,172.16.7.131
139,High,#N/A,172.16.7.132
139,High,a2is-PAM-DB,172.16.7.138
139,High,#N/A,172.16.7.145
139,High,a2-infor-db,172.16.50.2
139,High,a2is-opex,172.16.50.3
139,High,a2is-ifrs,172.16.50.8
139,High,#N/A,172.16.50.9
139,High,#N/A,172.16.50.10
139,High,AAB-FIFCLAIM,172.16.51.1
139,High,A2is-VMS,172.16.51.2
139,High,#N/A,172.16.51.3
139,High,#N/A,172.16.51.4
139,High,#N/A,172.16.51.5
139,High,a2is-siap,172.16.51.7
139,High,a2is-Wallboard2,172.16.51.8
